"filename", "language", "Dart", "comment", "blank", "total"
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/firebase_options.dart", "Dart", 54, 12, 4, 70
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/main.dart", "Dart", 130, 5, 17, 152
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/apis/api_response.dart", "Dart", 16, 0, 2, 18
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/apis/app_exception.dart", "Dart", 22, 0, 7, 29
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/app_user/app_user.dart", "Dart", 41, 1, 11, 53
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/artist/artist.dart", "Dart", 84, 2, 13, 99
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/auth/auth_response.dart", "Dart", 6, 0, 2, 8
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/category/category.dart", "Dart", 92, 1, 13, 106
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/offer/offer.dart", "Dart", 92, 1, 16, 109
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/order_way/order_way.dart", "Dart", 52, 1, 12, 65
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/section/section.dart", "Dart", 70, 1, 11, 82
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/service/app_user/app_user_reposityory.dart", "Dart", 60, 6, 18, 84
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/service/artist/artist_reposityory.dart", "Dart", 121, 7, 31, 159
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/service/category/category_reposityory.dart", "Dart", 146, 7, 34, 187
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/service/offer/offer_reposityory.dart", "Dart", 134, 8, 32, 174
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/service/section/section_reposityory.dart", "Dart", 135, 7, 31, 173
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/service/setting/setting_repository.dart", "Dart", 66, 0, 16, 82
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/service/song/song_reposityory.dart", "Dart", 121, 6, 25, 152
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/setting/image_setting.dart", "Dart", 18, 0, 4, 22
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/model/song/song.dart", "Dart", 87, 3, 12, 102
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/services/firebase/auth_helper.dart", "Dart", 62, 4, 12, 78
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/services/firebase/firestore_helper.dart", "Dart", 16, 1, 4, 21
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/services/firebase/storage_helper.dart", "Dart", 109, 26, 37, 172
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/services/local_dart/dark_them_preferences.dart", "Dart", 30, 0, 8, 38
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/others/app_theme.dart", "Dart", 163, 0, 36, 199
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/others/constant.dart", "Dart", 74, 1, 15, 90
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/others/extantion_color.dart", "Dart", 39, 25, 5, 69
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/others/extensions.dart", "Dart", 77, 0, 18, 95
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/others/global_method.dart", "Dart", 95, 0, 4, 99
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/others/helper.dart", "Dart", 173, 10, 25, 208
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/others/responsive.dart", "Dart", 36, 5, 9, 50
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/others/routes.dart", "Dart", 29, 2, 3, 34
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/others/size_config.dart", "Dart", 22, 4, 5, 31
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/others/them_data.dart", "Dart", 66, 1, 7, 74
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/others/utils.dart", "Dart", 47, 4, 12, 63
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/artist/all_artist_screen.dart", "Dart", 10, 0, 3, 13
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/artist/components/artist_gride.dart", "Dart", 0, 37, 6, 43
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/artist/components/artist_widget.dart", "Dart", 134, 1, 5, 140
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/artist/components/body.dart", "Dart", 151, 15, 13, 179
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/artist/components/build_body.dart", "Dart", 70, 5, 8, 83
